;;;;;;📊 BÁO CÁO TÀI CHÍNH TỔNG HỢP – THÁNG 4/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANH MỤC CHỈ TIÊU P&L;Hội An;;VTV8;;PHT;;111 NHT;;109 NHT;;Phố Đi Bộ;;Chợ Hàn + Bảo Tàng;;Cá Chép;;Bảo Tàng;;"Doanh thu Tổng 
Cà Phê Đóng Gói và Hàng lưu niệm";;Doanh thu Sự Kiện;;Doanh thu Bếp;;CÔNg TY - BO;;TỔNG HỆ THỐNG;;;;;;;;;;;;;;;
;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;;;;;;;;;;;;;;
II.2 GIẢM TRỪ DOANH THU;1.950.877 đ;0,29%;459.000 đ;0,03%;2.066.613 đ;0,38%;788.503 đ;0,14%;289.131 đ;0,10%;198.437 đ;0,06%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;;0,00%;0 đ;0%;0 đ;;5.752.561 đ;0,14%;;Doanh thu even;;;;;;;;;;;;
• Chi phí Nhân sự (Labor Cost);116.509.879 đ;17,36%;215.591.013 đ;16,13%;130.900.394 đ;24,01%;142.137.559 đ;25,96%;64.119.750 đ;22,75%;44.075.065 đ;14,37%;17.229.717 đ;30,94%;10.280.911 đ;17,47%;6.438.000 đ;70,27%;27.672.628 đ;16,28%;10.855.380 đ;18%;15.294.750 đ;11%;;;794.667.045 đ;19,06%;;;;;;;;;;;;;;
• Tiện ích & Vận hành (Điện, Nước...);32.903.572 đ;4,90%;76.647.161 đ;5,73%;36.092.276 đ;6,62%;30.702.926 đ;5,61%;28.767.107 đ;10,21%;7.267.630 đ;2,37%;1.544.309 đ;2,77%;1.908.788 đ;3,24%;0 đ;0,00%;4.453.096 đ;2,62%;6.457.000 đ;11%;10.959.369 đ;8%;10.000.000 đ;;247.703.233 đ;5,94%;;Cp event;;;;;;;;;;;;
• Marketing & Bán hàng trực tuyến;22.925.823 đ;3,42%;40.502.266 đ;3,03%;15.374.780 đ;2,82%;13.727.198 đ;2,51%;7.613.711 đ;2,70%;8.160.000 đ;2,66%;11.965 đ;0,02%;453.573 đ;0,77%;0 đ;0,00%;465.538 đ;0,27%;0 đ;0%;0 đ;0%;64.905.999 đ;;174.140.854 đ;4,18%;;Cp điện nước mặt bằng;;;;;;;;;;;;
• Bảo trì sửa chữa cơ sở;5.405.000 đ;0,81%;32.825.674 đ;2,46%;6.709.279 đ;1,23%;7.395.780 đ;1,35%;2.045.501 đ;0,73%;5.350.000 đ;1,74%;260.000 đ;0,47%;0 đ;0,00%;260.000 đ;2,84%;0 đ;0,00%;0 đ;0%;0 đ;0%;;;59.991.234 đ;1,44%;;;;;;;;;;;;;;
• Quản lý & Hành chính văn phòng;2.196.044 đ;0,33%;0 đ;0,00%;488.000 đ;0,09%;0 đ;0,00%;1.177.123 đ;0,42%;1.040.331 đ;0,34%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0%;0 đ;0%;166.948.593 đ;;171.850.091 đ;4,12%;;;;;;;;;;;;;;
• Chi phí Thuê mặt bằng (Rent);39.000.000 đ;5,81%;70.716.758 đ;5,29%;35.000.000 đ;6,42%;24.000.000 đ;4,38%;37.000.000 đ;13,13%;6.002.000 đ;1,96%;21.234.218 đ;38,14%;12.599.258 đ;21,41%;2.000.000 đ;21,83%;44.833.477 đ;26,38%;0 đ;0%;5.000.000 đ;4%;10.000.000 đ;;305.385.711 đ;7,32%;;;;;;;;;;;;;;
• Chi phí Tài chính phát sinh ( DỰ KIẾN );30.336.489 đ;4,52%;3.000.000 đ;0,22%;32.966.055 đ;6,05%;24.860.591 đ;4,54%;12.781.283 đ;4,53%;13.803.812 đ;4,50%;2.559.087 đ;4,60%;2.647.814 đ;4,50%;465.840 đ;5,08%;4.741.060 đ;2,79%;0 đ;0%;0 đ;0%;;;127.696.190 đ;3,06%;;Khối VP;;;;;;;;;;;;
II.3 TỔNG CHI PHÍ HOẠT ĐỘNG (OPEX);249.276.807 đ;37,15%;439.282.872 đ;32,86%;257.530.784 đ;47,25%;242.824.053 đ;44,35%;153.504.474 đ;54,46%;85.698.838 đ;27,94%;42.839.296 đ;76,94%;27.890.344 đ;47,40%;9.163.840 đ;100,02%;82.165.799 đ;48,35%;17.312.380 đ;28,22%;31.254.119 đ;23%;251.854.592 đ;;1.508.011.309 đ;36,16%;;Khối rang;;;;;;;;;;;;
• Chi phí Quan hệ & Đối ngoại (Lobby);0 đ;0,00%;11.839.131 đ;0,89%;6.123.124 đ;1,12%;3.661.857 đ;0,67%;1.895.959 đ;0,67%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0%;;0%;;;23.520.071 đ;0,56%;;Kệ Lưu niệm;;;;;;;;;;;;
• Chi phí Phạt / Đền bù thiệt hại;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0,00%;;0,00%;0 đ;0,00%;;0,00%;0 đ;0,00%;0 đ;0,00%;0 đ;0%;;0%;;;0 đ;0,00%;;;;;;;;;;;;;;
